wemID,eventName
85816697,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=Off)(BG~0278
85816697,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=Off)(BG~0279
66816358,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=Off)(BG~0279
12166696,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=On)(BGM~0280
66816358,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=On)(BGM~0280
208160485,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=On)(BGM~0281
66816358,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=On)(BGM~0281
12166696,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=On)(BGM~0282
85816697,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=On)(BGM~0282
66816358,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=On)(BGM~0282
1048371600,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_B_President) (BGM_Hacking=Out)(BGM_Layer_President=Matsuda)
